"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","responses"
"[{""page_index"":0,""viewing_time"":4185}]","4185","Instructions_Reading","instructions","0","4188","0.0-0.0",""
"[{""page_index"":0,""viewing_time"":2218}]","2219","Reading1","instructions","1","6459","0.0-1.0",""
"","1602","CL_1","survey-multi-choice","2","8125","0.0-2.0","{""Q0"":""d) Una piel especial que recubre su cuerpo""}"
"","1218","CL_2","survey-multi-choice","3","9347","0.0-3.0","{""Q0"":""c) La ayuda que se prestan y el tamaño de su cuerpo""}"
"","1052","CL_3","survey-multi-choice","4","10403","0.0-4.0","{""Q0"":""b) Los padres se ayudan para incubar y cuidar a las crías""}"
"","908","CL_4","survey-multi-choice","5","11315","0.0-5.0","{""Q0"":""c) Una especie de gamba que sirve de alimento a los pingüinos""}"
"","1116","CL_5","survey-multi-choice","6","12435","0.0-6.0","{""Q0"":""a) Los padres cuidan juntos del pequeño durante varias semanas""}"
"","1220","CL_6","survey-multi-choice","7","13660","0.0-7.0","{""Q0"":""d) Primero la hembra y luego el macho""}"
"","866","CL_7","survey-multi-choice","8","14531","0.0-8.0","{""Q0"":""c) Pingüinos adultos cuidan de grupos de pingüinos pequeños""}"
"","901","CL_8","survey-multi-choice","9","15438","0.0-9.0","{""Q0"":""b) Porque hay pingüinos que habitan en el Polo Sur""}"
"","1707","CL_9","survey-multi-choice","10","17147","0.0-10.0","{""Q0"":""a) Porque el pequeño pingüino ya puede vivir solo""}"
"","869","CL_10","survey-multi-choice","11","18019","0.0-11.0","{""Q0"":""d) La clase de alimentos que comen ""}"
"[{""page_index"":0,""viewing_time"":2032}]","2032","Reading2","instructions","12","20051","0.0-12.0",""
"","3595","CL_11","survey-multi-choice","13","23699","0.0-13.0","{""Q0"":""a) De utensilios de uso cotidiano""}"
"","1838","CL_12","survey-multi-choice","14","25539","0.0-14.0","{""Q0"":""b) Habitaban en campamentos de tiendas situados en las praderas""}"
"","1663","CL_13","survey-multi-choice","15","27205","0.0-15.0","{""Q0"":""c) Muchos rebaños de bisontes fueran eliminados""}"
"","819","CL_14","survey-multi-choice","16","28028","0.0-16.0","{""Q0"":""d) Fueron expulsados de Minnessota en 1863""}"
"","900","CL_15","survey-multi-choice","17","28930","0.0-17.0","{""Q0"":""d) Una línea fortificada del ejército""}"
"","974","CL_16","survey-multi-choice","18","29907","0.0-18.0","{""Q0"":""c) Porque apareció el movimiento religioso 'La Danza del Espíritu'""}"
"","1054","CL_17","survey-multi-choice","19","30963","0.0-19.0","{""Q0"":""b) Un grupo de mineros blancos""}"
"","1213","CL_18","survey-multi-choice","20","32179","0.0-20.0","{""Q0"":""a) El gobierno firmó la paz y emprendió una política de ayuda a los indios""}"
"","982","CL_19","survey-multi-choice","21","33163","0.0-21.0","{""Q0"":""d) Con unos espíritus religiosos que danzaban""}"
"","884","CL_20","survey-multi-choice","22","34051","0.0-22.0","{""Q0"":""d) Una tribu de indios rebeldes fue exterminada""}"
