ID,premisa1,premisa2,conclusion,valido
1,El sedimento es más arenoso que la lava.,La roca nitro no es tan arenosa como la lava.,La roca nitro es más arenosa que el sedimento.,F
2,María es mejor dentista que Julia.,María no es tan buena dentista como Sebastián.,Sebastián no es tan buen dentista como Julia.,F
6,La taza es más oscura que el plato.,La mesa es más oscura que la taza.,El plato es más ocuro que la mesa.,F
8,El gimnasta está sobre la caja.,La caja está sobre el suelo.,El gimnasta está bajo el suelo.,F
11,Las uvas están fuera de la cesta.,Los higos están dentro de la cesta.,Los higos están con las uvas.,F
13,Bartolo es más considerado que Tino.,Bartolo es más considerado que Suso.,Tino no es tan considerado como Suso.,F
18,Las naranjas son más ligeras que las cestas.,Las peras son más ligeras que las cestas.,Las peras son más ligeras que las naranjas.,F
19,La goma está sobre el libro.,La bolsa está bajo la goma.,El libro está bajo la bolsa.,F
22,El ladron está dentro de la casa.,El dormitorio está dentro de la casa.,El ladrón está dentro del dormitorio.,F
24,El atleta está detrás del banco.,La mancuerna está detrás del banco.,El atleta está detrás de la mancuerna.,F
25,Las golondrinas son más ruidosas que los murciélagos rey.,Las golondrinas son más silenciosas que las garzas azules.,Las garzas azules son más ruidosas que los murciélagos rey.,T
26,El laboratorio está más concurrido que el auditorio.,El despacho está menos concurrido que el auditorio.,El despacho está menos concurrido que el laboratorio.,T
33,Los adolescentes son más sensatos que los niños.,Los adultos son más sensatos que los adolescentes.,Los adultos son más sensatos que los niños.,T
35,Los perros son más enérgicos que los caballos.,Los hamsters son más enérgicos que los perros.,Los hamsters son más enérgicos que los caballos.,T
36,Julia es más guapa que Carlos.,Sara es más guapa que Julia.,Sara es más guapa que Carlos.,T
37,Los platos están sobre las sartenes.,Las ollas están sobre los platos.,Las sartenes están debajo de las ollas.,T
39,Los platos están sobre las servilletas.,Las copas están sobre los platos.,Las servilletas están debajo de las copas.,T
40,El libro está sobre el estante.,El libro está bajo el bolígrafo.,El bolígrafo está sobre el estante.,T
47,El profesor está delante del pupitre.,El pupitre está delante de la silla.,El profesor está delante de la silla.,T
48,La grapadora está dentro del cajón.,La grapa está dentro de la grapadora.,La grapa está dentro del cajón.,T
